"PLAYER","ROLE","PRICE","TEAM"
"MS Dhoni","Wicket-keeper","12 crore","CSK"
"Devon Conway","Batsman","1 crore","CSK"
"Ruturaj Gaikwad","Batsman","6 crore","CSK"
"Ajinkya Rahane","Wicket-keeper","50 lakh","CSK"
"Shaik Rasheed","All-Rounder","20 lakh","CSK"
"Ravindra Jadeja","All-Rounder","16 crore","CSK"
"Mitchell Santner","All Rounder","1.9 crore","CSK"
"Moeen Ali","All Rounder","8 crore","CSK"
"Shivam Dube","All Rounder","4 crore","CSK"
"Nishant Sindhu","All Rounder","60 lakh","CSK"
"Ajay Mandal","All Rounder","20 lakh","CSK"
"Rajvardhan Hangargekar","Bowler","1.5 crore","CSK"
"Deepak Chahar","All Rounder","14 crore","CSK"
"Maheesh Theekshana","Bowler","70 lakh","CSK"
"Mukesh Choudhary","Bowler","20 lakh","CSK"
"Prashant Solanki","Bowler","1.2 crore","CSK"
"Simarjeet Singh","Bowler","20 lakh","CSK"
"Tushar Deshpande","Bowler","20 lakh","CSK"
"Matheesha Pathirana","Bowler","20 lakh","CSK"
"Rachin Ravindra","All-rounder","1.8 crore","CSK"
"Shardul Thakur","All-rounder","4 crore","CSK"
"Daryl Mitchell","All-rounder","14 crore","CSK"
"Sameer Rizvi","Batter","8.4 crore","CSK"
"Mustafizur Rahman","Bowler","2 crore","CSK"
"Avanish Rao Aravelly","Wicket-keeper","20 lakh","CSK"
"David Warner","Batter","6.25 crore","DC"
"Rishabh Pant","Wicketkeeper","16 crore","DC"
"Ishant Sharma","Bowler","50 lakh","DC"
"Abhishek Porel","Wicketkeeper","20 lakh","DC"
"Mitchell Marsh","All-rounder","6.5 crore","DC"
"Anrich Nortje","Bowler","6.5 crore","DC"
"Prithvi Shaw","Batter","7.5 crore","DC"
"Kuldeep Yadav","Bowler","2 crore","DC"
"Pravin Dubey","Bowler","50 lakh","DC"
"Vicky Ostwal","All-Rounder","20 lakh","DC"
"Lungi Ngidi","Bowler","50 lakh","DC"
"Khaleel Ahmed","Bowler","5.25 crore","DC"
"Mukesh Kumar","Bowler","5.5 crore","DC"
"Axar Patel","All-rounder","9 crore","DC"
"Yash Dhull","Batter","50 lakh","DC"
"Lalit Yadav","All-rounder","65 lakh","DC"
"Harry Brook","Batter","4 crore","DC"
"Tristan Stubbs","Wicket-keeper","50 lakh","DC"
"Ricky Bhui","Wicket-keeper","20 lakh","DC"
"Kumar Kushagra","Wicket-keeper","7.2 crore","DC"
"Rasikh Dar","Bowler","20 lakh","DC"
"Jhye Richardson","Bowler","5 crore","DC"
"Sumeet Kumar","Bowler","1 crore","DC"
"Shai Hope","Wicket-keeper&nbsp;","75 lakh","DC"
"Swastik Chhikara","Batter","20 lakh","DC"
"Rashid Khan","Bowler","15 crore","GT"
"Kane Williamson","Batter","2 crore","GT"
"Vijay Shankar","All-rounder","1.4 crore","GT"
"Sai Sudharsan","Batter","20 lakh","GT"
"Mohit Sharma","Bowler","50 lakh","GT"
"Mohammed Shami","Bowler","6.25 crore","GT"
"Noor Ahmad","Bowler","30 lakh","GT"
"Rahul Tewatia","All-rounder","9 crore","GT"
"Wriddiman Saha","Wicket-keeper","1.9 crore","GT"
"David Miller","Batter","3 crore","GT"
"Shubman Gill","Batter","7 crore","GT"
"Jayant Yadav","Bowler","1.7 crore","GT"
"Abhinav Manohar","Batter","2.6 crore","GT"
"Joshua Little","Bowler","4.4 crore","GT"
"Sai Kishore","Bowler","3 crore","GT"
"Azmatullah Omarzai","All-rounder","50 lakh","GT"
"Umesh Yadav","Bowler","5.8 crore","GT"
"Shahrukh Khan","All-rounder","7.4 crore","GT"
"Sushant Mishra","Bowler","2.2 crore","GT"
"Kartik Tyagi","Bowler","60 lakh","GT"
"Manav Suthar","Bowler","20 lakh","GT"
"Spencer Johnson","Bowler","10 crore","GT"
"Robin Minz","Wicket-keeper","3.6 crore","GT"
"Shreyas Iyer","Batter","12.25 crore","KKR"
"Nitish Rana","All-rounder","8 crore","KKR"
"Rinku Singh","Batter","55 lakh","KKR"
"Venkatesh Iyer","All-rounder","8 crore","KKR"
"Sunil Narine","All-rounder","6 crore","KKR"
"Varun Chakravarthy","Bowler","8 crore","KKR"
"Suyash Sharma","Bowler","20 lakh","KKR"
"Andre Russell","All-rounder","12 crore","KKR"
"Jason Roy","Batter","2.8 crore","KKR"
"Anukul Roy","Spinner","20 lakh","KKR"
"Vaibhav Arora","Bowler","60 lakh","KKR"
"Rahmanullah Gurbaz","Wicket-keeper","50 lakh","KKR"
"Harshit Rana","Bowler","20 lakh","KKR"
"KS Bharat","Wicket-keeper","50 lakh","KKR"
"Chetan Sakariya","Bowler","50 lakh","KKR"
"Mitchell Starc","Bowler","24.75 crore","KKR"
"Angkrish Raghuvanshi","Batter","20 lakh","KKR"
"Ramandeep Singh","All-rounder","20 lakh","KKR"
"Sherfane Rutherford","Batter","1.5 crore","KKR"
"Manish Pandey","Batter","50 lakh","KKR"
"Mujeeb Ur Rahman","Batter","2 crore","KKR"
"Gus Atkinson","Bowler","1 crore","KKR"
"Sakib Hussain","All-rounder","20 lakh","KKR"
"KL Rahul","Batter","15 crore","LSG"
"Quinton de Kock","Batter","6.75 crore","LSG"
"Nicholas Pooran","Batter","16 crore","LSG"
"Ayush Badoni","Batter","20 lakh","LSG"
"Kyle Mayers","Bowler","50 lakh","LSG"
"Marcus Stoinis","All-rounder","11 crore","LSG"
"Deepak Hooda","Batter","5.75 crore","LSG"
"Ravi Bishnoi","Bowler","4 crore","LSG"
"Naveen-ul-Haq","Bowler","50 lakh","LSG"
"Krunal Pandya","All-rounder","8.25 crore","LSG"
"Yudhvir Singh","Bowler","20 lakh","LSG"
"Prerak Mankad","All-rounder","20 lakh","LSG"
"Yash Thakur","Bowler","45 lakh","LSG"
"Mark Wood","Bowler","7.5 crore","LSG"
"Mayank Yadav","Bowler","20 lakh","LSG"
"Mohsin Khan","Bowler","20 lakh","LSG"
"Shivam Mavi","Bowler","6.4 crore","LSG"
"Arshin Kulkarni","All-rounder","20 lakh","LSG"
"M Siddharth","Bowler","2.4 crore","LSG"
"Ashton Turner","Batter","1 crore","LSG"
"David Willey","All-rounder","2 crore","LSG"
"Mohammed Arshad Khan","Bowler","20 lakh","LSG"
"Rohit Sharma","Batsman","16 crore","MI"
"Jasprit Bumrah","Bowler","12 crore","MI"
"Suryakumar Yadav","Batsman","8 crore","MI"
"Ishan Kishan","Batsman","15.25 crore","MI"
"Dewald Brevis","Batsman","3 crore","MI"
"Tilak Varma","Batsman","1.7 crore","MI"
"Hardik Pandya","All Rounder","15 crore","MI"
"Tim David","All-Rounder","8.25 crore","MI"
"Arjun Tendulkar","Bowler","30 lakh","MI"
"Kumar Kartikeya","Bowler","20 lakh","MI"
"Jason Behrendorff","Bowler","75 lakh","MI"
"Akash Madhwal","Bowler","20 lakh","MI"
"Vishnu Vinod","Wicket-keeper","20 lakh","MI"
"Romario Shepherd","All Rounder","50 lakh","MI"
"Shams Mulani","All Rounder","20 lakh","MI"
"Nehal Wadhera","Batter","20 lakh","MI"
"Piyush Chawla","Bowler","50 lakh","MI"
"Gerald Coetzee","All-rounder","5 crore","MI"
"Dilshan Madushanka","Bowler","4.6 crore","MI"
"Shreyas Gopal","Bowler","20 lakh","MI"
"Nuwan Thushara","Bowler","4.8 crore","MI"
"Naman Dhir","All-rounder","20 lakh","MI"
"Anshul Kamboj","Bowler","20 lakh","MI"
"Mohammad Nabi","All-rounder","1.5 crore","MI"
"Shivalik Sharma","All-rounder","20 lakh","MI"
"Shikhar Dhawan","Batter","8.25 crore","PBKS"
"Jitesh Sharma","Batter","20 lakh","PBKS"
"Prabhsimran Singh","Batter","60 lakh","PBKS"
"Jonny Bairstow","Wicket-keeper","6.75 crore","PBKS"
"Matthew Short","Batter","20 lakh","PBKS"
"Atharva Taide","Batter","20 lakh","PBKS"
"Rishi Dhawan","Batter","55 lakh","PBKS"
"Sam Curran","All-rounder","18.5 crore","PBKS"
"Sikandar Raza","All-rounder","50 lakh","PBKS"
"Liam Livingstone","Batter","11.5 crore","PBKS"
"Gurnoor Singh Brar","Bowler","20 lakh","PBKS"
"Shivam Singh","Bowler","20 lakh","PBKS"
"Rahul Chahar","Bowler","5.25 crore","PBKS"
"Arshdeep Singh","Bowler","4 crore","PBKS"
"Harpreet Brar","Bowler","3.8 crore","PBKS"
"Vidwath Kaverappa","Bowler","20 lakh","PBKS"
"Nathan Ellis","Bowler","75 lakh","PBKS"
"Harshal Patel","All-rounder","11.75 crore","PBKS"
"Chris Woakes","All-rounder","4.2 crore","PBKS"
"Ashutosh Sharma","Batter","20 lakh","PBKS"
"Vishwanath Pratap Singh","Batter","20 lakh","PBKS"
"Shashank Singh","All-rounder","20 lakh","PBKS"
"Tanay Thyagarajan","All-rounder","20 lakh","PBKS"
"Prince Choudhary","Bowler","20 lakh","PBKS"
"Rilee Rossouw","Batter","8 crore","PBKS"
"Sanju Samson","Batter","14 crore","RR"
"Jos Buttler","Batter","10 crore","RR"
"Yashasvi Jaiswal","Batter","4 crore","RR"
"Yuzvendra Chahal","Bowler","6.5 crore","RR"
"Trent Boult","Bowler","8 crore","RR"
"Shimron Hetmyer","Batter","8.5 crore","RR"
"Dhruv Jurel","Batter","20 lakh","RR"
"Riyan Parag","Batter","3.8 crore","RR"
"Donovan Ferreira","All-rounder","50 lakh","RR"
"Kunal Rathore","Wicket-keeper","20 lakh","RR"
"Ravichandran Ashwin","All-rounder","5 crore","RR"
"Kuldeep Sen","Bowler","20 lakh","RR"
"Navdeep Saini","Bowler","2.6 crore","RR"
"Prasidh Krishna","Bowler","10 crore","RR"
"Sandeep Sharma","Bowler","50 lakh","RR"
"Adam Zampa","Bowler","1.5 crore","RR"
"Rovman Powell","Batter","7.4 crore","RR"
"Shubham Dubey","Batter","5.8 crore","RR"
"Tom Kohler-Cadmore","Wicket-keeper","40 lakh","RR"
"Abid Mushtaq","Bowler","20 lakh","RR"
"Nandre Burger","Bowler","50 lakh","RR"
"Faf du Plessis","Batter","7 crore","RCB"
"Virat Kohli","Batter","15 crore","RCB"
"Glenn Maxwell","All-rounder","11 crore","RCB"
"Mohammed Siraj","Bowler","7 crore","RCB"
"Dinesh Karthik","Keeper-Batter","5.5 crore","RCB"
"Vyshak Vijaykumar","Bowler","20 lakh","RCB"
"Manoj Bhandage","All-rounder","20 lakh","RCB"
"Rajat Patidar","Batter","20 lakh","RCB"
"Anuj Rawat","Keeper-batter","3.4 crore","RCB"
"Suyash Prabhudesai","All-rounder","30 lakh","RCB"
"Akash Deep","Bowler","20 lakh","RCB"
"Reece Topley","Bowler","1.9 crore","RCB"
"Rajan Kumar","Bowler","70 lakh","RCB"
"Himanshu Sharma","All-rounder","20 lakh","RCB"
"Karn Sharma","Bowler","50 lakh","RCB"
"Mahipal Lomror","Batter","95 lakh","RCB"
"Will Jacks","All-rounder","3.2 crore","RCB"
"Cameron Green","All-rounder","17.5 crore","RCB"
"Alzarri Joseph","Bowler","11.5 crore","RCB"
"Yash Dayal","Bowler","5 crore","RCB"
"Tom Curran","All-rounder","1.5 crore","RCB"
"Lockie Ferguson","Bowler","2 crore","RCB"
"Swapnil Singh","All-rounder","20 lakh","RCB"
"Sourav Chauhan","All-rounder","20 lakh","RCB"
"Abdul Samad","Batter","4 crore","SRH"
"Rahul Tripathi","Batter","8.5 crore","SRH"
"Glenn Phillips","Batter","1.5 crore","SRH"
"Heinrich Klaasen","Batter","5.25 crore","SRH"
"Mayank Agarwal","Batter","8.25 crore","SRH"
"Anmolpreet Singh","Batter","20 lakh","SRH"
"Upendra Yadav","Wicket-Keeper","25 lakh","SRH"
"Shahbaz Ahmed","All-rounder","2.4 crore","SRH"
"Abhishek Sharma","All-rounder","6.5 crore","SRH"
"Marco Jansen","All-rounder","4.2 crore","SRH"
"Washington Sundar","All-rounder","8.75 crore","SRH"
"Sanvir Singh","All-rounder","20 lakh","SRH"
"Bhuvneshwar Kumar","Bowler","4.2 crore","SRH"
"T Natarajan","Bowler","4 crore","SRH"
"Mayank Markande","Bowler","50 lakh","SRH"
"Umran Malik","Bowler","4 crore","SRH"
"Fazalhaq Farooqi","Bowler","50 lakh","SRH"
"Travis Head","Batter","6.8 crore","SRH"
"Wanindu Hasaranga","All-rounder","1.5 crore","SRH"
"Pat Cummins","All-rounder","20.5 crore","SRH"
"Jaydev Unadkat","Bowler","1.6 crore","SRH"
"Akash Singh","Bowler","20 lakh","SRH"
"Jhathavedh Subramanyan","Bowler","20 lakh","SRH"
