PLAYER,ROLE,PRICE,TEAM,IsWicketKeeper
MS DHONI,Wicket-keeper,12.0,CSK,1
DEVON CONWAY,Batsman,1.0,CSK,0
RUTURAJ GAIKWAD,Batsman,6.0,CSK,0
AJINKYA RAHANE,Wicket-keeper,0.5,CSK,1
SHAIK RASHEED,All-Rounder,0.2,CSK,0
RAVINDRA JADEJA,All-Rounder,16.0,CSK,0
MITCHELL SANTNER,All Rounder,1.9,CSK,0
MOEEN ALI,All Rounder,8.0,CSK,0
SHIVAM DUBE,All Rounder,4.0,CSK,0
NISHANT SINDHU,All Rounder,0.6,CSK,0
AJAY MANDAL,All Rounder,0.2,CSK,0
RAJVARDHAN HANGARGEKAR,Bowler,1.5,CSK,0
DEEPAK CHAHAR,All Rounder,14.0,CSK,0
MAHEESH THEEKSHANA,Bowler,0.7000000000000001,CSK,0
MUKESH CHOUDHARY,Bowler,0.2,CSK,0
PRASHANT SOLANKI,Bowler,1.2,CSK,0
SIMARJEET SINGH,Bowler,0.2,CSK,0
TUSHAR DESHPANDE,Bowler,0.2,CSK,0
MATHEESHA PATHIRANA,Bowler,0.2,CSK,0
RACHIN RAVINDRA,All-rounder,1.8,CSK,0
SHARDUL THAKUR,All-rounder,4.0,CSK,0
DARYL MITCHELL,All-rounder,14.0,CSK,0
SAMEER RIZVI,Batter,8.4,CSK,0
MUSTAFIZUR RAHMAN,Bowler,2.0,CSK,0
AVANISH RAO ARAVELLY,Wicket-keeper,0.2,CSK,1
DAVID WARNER,Batter,6.25,DC,0
RISHABH PANT,Wicketkeeper,16.0,DC,0
ISHANT SHARMA,Bowler,0.5,DC,0
ABHISHEK POREL,Wicketkeeper,0.2,DC,0
MITCHELL MARSH,All-rounder,6.5,DC,0
ANRICH NORTJE,Bowler,6.5,DC,0
PRITHVI SHAW,Batter,7.5,DC,0
KULDEEP YADAV,Bowler,2.0,DC,0
PRAVIN DUBEY,Bowler,0.5,DC,0
VICKY OSTWAL,All-Rounder,0.2,DC,0
LUNGI NGIDI,Bowler,0.5,DC,0
KHALEEL AHMED,Bowler,5.25,DC,0
MUKESH KUMAR,Bowler,5.5,DC,0
AXAR PATEL,All-rounder,9.0,DC,0
YASH DHULL,Batter,0.5,DC,0
LALIT YADAV,All-rounder,0.65,DC,0
HARRY BROOK,Batter,4.0,DC,0
TRISTAN STUBBS,Wicket-keeper,0.5,DC,1
RICKY BHUI,Wicket-keeper,0.2,DC,1
KUMAR KUSHAGRA,Wicket-keeper,7.2,DC,1
RASIKH DAR,Bowler,0.2,DC,0
JHYE RICHARDSON,Bowler,5.0,DC,0
SUMEET KUMAR,Bowler,1.0,DC,0
SHAI HOPE,Wicket-keeper&nbsp;,0.75,DC,0
SWASTIK CHHIKARA,Batter,0.2,DC,0
RASHID KHAN,Bowler,15.0,GT,0
KANE WILLIAMSON,Batter,2.0,GT,0
VIJAY SHANKAR,All-rounder,1.4,GT,0
SAI SUDHARSAN,Batter,0.2,GT,0
MOHIT SHARMA,Bowler,0.5,GT,0
MOHAMMED SHAMI,Bowler,6.25,GT,0
NOOR AHMAD,Bowler,0.3,GT,0
RAHUL TEWATIA,All-rounder,9.0,GT,0
WRIDDIMAN SAHA,Wicket-keeper,1.9,GT,1
DAVID MILLER,Batter,3.0,GT,0
SHUBMAN GILL,Batter,7.0,GT,0
JAYANT YADAV,Bowler,1.7,GT,0
ABHINAV MANOHAR,Batter,2.6,GT,0
JOSHUA LITTLE,Bowler,4.4,GT,0
SAI KISHORE,Bowler,3.0,GT,0
AZMATULLAH OMARZAI,All-rounder,0.5,GT,0
UMESH YADAV,Bowler,5.8,GT,0
SHAHRUKH KHAN,All-rounder,7.4,GT,0
SUSHANT MISHRA,Bowler,2.2,GT,0
KARTIK TYAGI,Bowler,0.6,GT,0
MANAV SUTHAR,Bowler,0.2,GT,0
SPENCER JOHNSON,Bowler,10.0,GT,0
ROBIN MINZ,Wicket-keeper,3.6,GT,1
SHREYAS IYER,Batter,12.25,KKR,0
NITISH RANA,All-rounder,8.0,KKR,0
RINKU SINGH,Batter,0.55,KKR,0
VENKATESH IYER,All-rounder,8.0,KKR,0
SUNIL NARINE,All-rounder,6.0,KKR,0
VARUN CHAKRAVARTHY,Bowler,8.0,KKR,0
SUYASH SHARMA,Bowler,0.2,KKR,0
ANDRE RUSSELL,All-rounder,12.0,KKR,0
JASON ROY,Batter,2.8,KKR,0
ANUKUL ROY,Spinner,0.2,KKR,0
VAIBHAV ARORA,Bowler,0.6,KKR,0
RAHMANULLAH GURBAZ,Wicket-keeper,0.5,KKR,1
HARSHIT RANA,Bowler,0.2,KKR,0
KS BHARAT,Wicket-keeper,0.5,KKR,1
CHETAN SAKARIYA,Bowler,0.5,KKR,0
MITCHELL STARC,Bowler,24.75,KKR,0
ANGKRISH RAGHUVANSHI,Batter,0.2,KKR,0
RAMANDEEP SINGH,All-rounder,0.2,KKR,0
SHERFANE RUTHERFORD,Batter,1.5,KKR,0
MANISH PANDEY,Batter,0.5,KKR,0
MUJEEB UR RAHMAN,Batter,2.0,KKR,0
GUS ATKINSON,Bowler,1.0,KKR,0
SAKIB HUSSAIN,All-rounder,0.2,KKR,0
KL RAHUL,Batter,15.0,LSG,0
QUINTON DE KOCK,Batter,6.75,LSG,0
NICHOLAS POORAN,Batter,16.0,LSG,0
AYUSH BADONI,Batter,0.2,LSG,0
KYLE MAYERS,Bowler,0.5,LSG,0
MARCUS STOINIS,All-rounder,11.0,LSG,0
DEEPAK HOODA,Batter,5.75,LSG,0
RAVI BISHNOI,Bowler,4.0,LSG,0
NAVEEN-UL-HAQ,Bowler,0.5,LSG,0
KRUNAL PANDYA,All-rounder,8.25,LSG,0
YUDHVIR SINGH,Bowler,0.2,LSG,0
PRERAK MANKAD,All-rounder,0.2,LSG,0
YASH THAKUR,Bowler,0.45,LSG,0
MARK WOOD,Bowler,7.5,LSG,0
MAYANK YADAV,Bowler,0.2,LSG,0
MOHSIN KHAN,Bowler,0.2,LSG,0
SHIVAM MAVI,Bowler,6.4,LSG,0
ARSHIN KULKARNI,All-rounder,0.2,LSG,0
M SIDDHARTH,Bowler,2.4,LSG,0
ASHTON TURNER,Batter,1.0,LSG,0
DAVID WILLEY,All-rounder,2.0,LSG,0
MOHAMMED ARSHAD KHAN,Bowler,0.2,LSG,0
ROHIT SHARMA,Batsman,16.0,MI,0
JASPRIT BUMRAH,Bowler,12.0,MI,0
SURYAKUMAR YADAV,Batsman,8.0,MI,0
ISHAN KISHAN,Batsman,15.25,MI,0
DEWALD BREVIS,Batsman,3.0,MI,0
TILAK VARMA,Batsman,1.7,MI,0
HARDIK PANDYA,All Rounder,15.0,MI,0
TIM DAVID,All-Rounder,8.25,MI,0
ARJUN TENDULKAR,Bowler,0.3,MI,0
KUMAR KARTIKEYA,Bowler,0.2,MI,0
JASON BEHRENDORFF,Bowler,0.75,MI,0
AKASH MADHWAL,Bowler,0.2,MI,0
VISHNU VINOD,Wicket-keeper,0.2,MI,1
ROMARIO SHEPHERD,All Rounder,0.5,MI,0
SHAMS MULANI,All Rounder,0.2,MI,0
NEHAL WADHERA,Batter,0.2,MI,0
PIYUSH CHAWLA,Bowler,0.5,MI,0
GERALD COETZEE,All-rounder,5.0,MI,0
DILSHAN MADUSHANKA,Bowler,4.6,MI,0
SHREYAS GOPAL,Bowler,0.2,MI,0
NUWAN THUSHARA,Bowler,4.8,MI,0
NAMAN DHIR,All-rounder,0.2,MI,0
ANSHUL KAMBOJ,Bowler,0.2,MI,0
MOHAMMAD NABI,All-rounder,1.5,MI,0
SHIVALIK SHARMA,All-rounder,0.2,MI,0
SHIKHAR DHAWAN,Batter,8.25,PBKS,0
JITESH SHARMA,Batter,0.2,PBKS,0
PRABHSIMRAN SINGH,Batter,0.6,PBKS,0
JONNY BAIRSTOW,Wicket-keeper,6.75,PBKS,1
MATTHEW SHORT,Batter,0.2,PBKS,0
ATHARVA TAIDE,Batter,0.2,PBKS,0
RISHI DHAWAN,Batter,0.55,PBKS,0
SAM CURRAN,All-rounder,18.5,PBKS,0
SIKANDAR RAZA,All-rounder,0.5,PBKS,0
LIAM LIVINGSTONE,Batter,11.5,PBKS,0
GURNOOR SINGH BRAR,Bowler,0.2,PBKS,0
SHIVAM SINGH,Bowler,0.2,PBKS,0
RAHUL CHAHAR,Bowler,5.25,PBKS,0
ARSHDEEP SINGH,Bowler,4.0,PBKS,0
HARPREET BRAR,Bowler,3.8,PBKS,0
VIDWATH KAVERAPPA,Bowler,0.2,PBKS,0
NATHAN ELLIS,Bowler,0.75,PBKS,0
HARSHAL PATEL,All-rounder,11.75,PBKS,0
CHRIS WOAKES,All-rounder,4.2,PBKS,0
ASHUTOSH SHARMA,Batter,0.2,PBKS,0
VISHWANATH PRATAP SINGH,Batter,0.2,PBKS,0
SHASHANK SINGH,All-rounder,0.2,PBKS,0
TANAY THYAGARAJAN,All-rounder,0.2,PBKS,0
PRINCE CHOUDHARY,Bowler,0.2,PBKS,0
RILEE ROSSOUW,Batter,8.0,PBKS,0
SANJU SAMSON,Batter,14.0,RR,0
JOS BUTTLER,Batter,10.0,RR,0
YASHASVI JAISWAL,Batter,4.0,RR,0
YUZVENDRA CHAHAL,Bowler,6.5,RR,0
TRENT BOULT,Bowler,8.0,RR,0
SHIMRON HETMYER,Batter,8.5,RR,0
DHRUV JUREL,Batter,0.2,RR,0
RIYAN PARAG,Batter,3.8,RR,0
DONOVAN FERREIRA,All-rounder,0.5,RR,0
KUNAL RATHORE,Wicket-keeper,0.2,RR,1
RAVICHANDRAN ASHWIN,All-rounder,5.0,RR,0
KULDEEP SEN,Bowler,0.2,RR,0
NAVDEEP SAINI,Bowler,2.6,RR,0
PRASIDH KRISHNA,Bowler,10.0,RR,0
SANDEEP SHARMA,Bowler,0.5,RR,0
ADAM ZAMPA,Bowler,1.5,RR,0
ROVMAN POWELL,Batter,7.4,RR,0
SHUBHAM DUBEY,Batter,5.8,RR,0
TOM KOHLER-CADMORE,Wicket-keeper,0.4,RR,1
ABID MUSHTAQ,Bowler,0.2,RR,0
NANDRE BURGER,Bowler,0.5,RR,0
FAF DU PLESSIS,Batter,7.0,RCB,0
VIRAT KOHLI,Batter,15.0,RCB,0
GLENN MAXWELL,All-rounder,11.0,RCB,0
MOHAMMED SIRAJ,Bowler,7.0,RCB,0
DINESH KARTHIK,Keeper-Batter,5.5,RCB,0
VYSHAK VIJAYKUMAR,Bowler,0.2,RCB,0
MANOJ BHANDAGE,All-rounder,0.2,RCB,0
RAJAT PATIDAR,Batter,0.2,RCB,0
ANUJ RAWAT,Keeper-batter,3.4,RCB,0
SUYASH PRABHUDESAI,All-rounder,0.3,RCB,0
AKASH DEEP,Bowler,0.2,RCB,0
REECE TOPLEY,Bowler,1.9,RCB,0
RAJAN KUMAR,Bowler,0.7000000000000001,RCB,0
HIMANSHU SHARMA,All-rounder,0.2,RCB,0
KARN SHARMA,Bowler,0.5,RCB,0
MAHIPAL LOMROR,Batter,0.9500000000000001,RCB,0
WILL JACKS,All-rounder,3.2,RCB,0
CAMERON GREEN,All-rounder,17.5,RCB,0
ALZARRI JOSEPH,Bowler,11.5,RCB,0
YASH DAYAL,Bowler,5.0,RCB,0
TOM CURRAN,All-rounder,1.5,RCB,0
LOCKIE FERGUSON,Bowler,2.0,RCB,0
SWAPNIL SINGH,All-rounder,0.2,RCB,0
SOURAV CHAUHAN,All-rounder,0.2,RCB,0
ABDUL SAMAD,Batter,4.0,SRH,0
RAHUL TRIPATHI,Batter,8.5,SRH,0
GLENN PHILLIPS,Batter,1.5,SRH,0
HEINRICH KLAASEN,Batter,5.25,SRH,0
MAYANK AGARWAL,Batter,8.25,SRH,0
ANMOLPREET SINGH,Batter,0.2,SRH,0
UPENDRA YADAV,Wicket-Keeper,0.25,SRH,0
SHAHBAZ AHMED,All-rounder,2.4,SRH,0
ABHISHEK SHARMA,All-rounder,6.5,SRH,0
MARCO JANSEN,All-rounder,4.2,SRH,0
WASHINGTON SUNDAR,All-rounder,8.75,SRH,0
SANVIR SINGH,All-rounder,0.2,SRH,0
BHUVNESHWAR KUMAR,Bowler,4.2,SRH,0
T NATARAJAN,Bowler,4.0,SRH,0
MAYANK MARKANDE,Bowler,0.5,SRH,0
UMRAN MALIK,Bowler,4.0,SRH,0
FAZALHAQ FAROOQI,Bowler,0.5,SRH,0
TRAVIS HEAD,Batter,6.8,SRH,0
WANINDU HASARANGA,All-rounder,1.5,SRH,0
PAT CUMMINS,All-rounder,20.5,SRH,0
JAYDEV UNADKAT,Bowler,1.6,SRH,0
AKASH SINGH,Bowler,0.2,SRH,0
JHATHAVEDH SUBRAMANYAN,Bowler,0.2,SRH,0
